#,TimeSpentONOS,TimeSpentClassif,TimeSpentTot,FlowPerPkt
0,0.0,11,12.0,10.0
1,0.0,12,13.0,10.0
2,0.0,21,22.0,10.0
3,0.0,13,14.0,10.0
4,0.0,17,18.0,1.0
5,0.0,10,12.0,1.0
6,0.0,11,13.0,1.0
7,0.0,38,39.0,10.0
8,0.0,26,27.0,10.0
9,0.0,21,22.0,10.0
10,0.0,12,13.0,10.0
11,0.0,11,12.0,10.0
12,0.0,14,15.0,10.0
13,0.0,21,22.0,10.0
14,0.0,13,14.0,5.0
15,0.0,19,20.0,1.0
16,1.0,13,15.0,10.0
17,0.0,36,38.0,10.0
18,0.0,23,24.0,10.0
19,0.0,18,19.0,10.0
20,0.0,24,26.0,10.0
21,0.0,19,20.0,10.0
22,0.0,33,34.0,10.0
23,0.0,41,42.0,10.0
24,0.0,35,36.0,10.0
25,0.0,37,39.0,10.0
26,0.0,35,36.0,10.0
27,0.0,10,12.0,10.0
28,0.0,14,15.0,10.0
29,0.0,17,19.0,10.0
30,0.0,30,32.0,10.0
31,0.0,37,40.0,10.0
32,0.0,23,24.0,10.0
33,0.0,33,34.0,10.0
34,0.0,33,34.0,10.0
35,0.0,12,13.0,10.0
